"","sample_id","dist_family","dist","size","mean","median","mean_median_diff","sd","skewness","kurtosis","outliers_minor_ratio","outliers_extream_ratio","sigma_1_ratio","sigma_2_ratio","sigma_3_ratio","model","test_set","actual","predicted","score","threshold","type"
"1299","normal(0.6)-Normal_-277_166.2-257","normal(0.6)","Normal_-277_166.2",257,0,-0.02512,0.02512,1,0.07802,2.94554,0.00778210116731518,0,0.665369649805447,0.953307392996109,0.996108949416342,"svmRadialSigma","unseen","class_0","class_0",0.0914111521401757,0.468671536447808,"TN"
"1301","close_normal-tukey(0.1)-265","close_normal","tukey(0.1)",265,0,-0.00215,0.00215,1,0.02766,3.14443,0.0226415094339623,0,0.671698113207547,0.958490566037736,0.99622641509434,"svmRadialSigma","unseen","class_1","class_0",0.0584421837139723,0.468671536447808,"FN"
"1306","sym_long_tail-t(1)-265","sym_long_tail","t(1)",265,0,0.03079,0.03079,1,-4.31261,57.75897,0.154716981132075,0.0754716981132075,0.939622641509434,0.969811320754717,0.981132075471698,"svmRadialSigma","unseen","class_1","class_1",0.955224938673265,0.468671536447808,"TP"
"1311","sym_short_tail-uniform(0,1)-265","sym_short_tail","uniform(0,1)",265,0,-0.06626,0.06626,1,0.13671,1.76794,0,0,0.573584905660377,1,1,"svmRadialSigma","unseen","class_1","class_1",0.972155369625718,0.468671536447808,"TP"
"1316","asym_long_tail-Weibull(0.5,1)-265","asym_long_tail","Weibull(0.5,1)",265,0,-0.3963,0.3963,1,3.72472,21.72432,0.116981132075472,0.0679245283018868,0.89811320754717,0.950943396226415,0.977358490566038,"svmRadialSigma","unseen","class_1","class_1",0.958524406473709,0.468671536447808,"TP"
"1321","asym_short_tail-beta(2,1)-265","asym_short_tail","beta(2,1)",265,0,0.23877,0.23877,1,-0.64668,2.41569,0,0,0.626415094339623,0.962264150943396,1,"svmRadialSigma","unseen","class_1","class_1",0.94543393485974,0.468671536447808,"TP"
"1329","normal(0.6)-Normal_548_328.8-265","normal(0.6)","Normal_548_328.8",265,0,-0.0202,0.0202,1,0.13664,2.58326,0,0,0.690566037735849,0.973584905660377,1,"svmRadialSigma","unseen","class_0","class_0",0.26738177247081,0.468671536447808,"TN"
"1334","normal(0.6)-Normal_-605_363-265","normal(0.6)","Normal_-605_363",265,0,-0.00334,0.00334,1,-0.21979,3.158,0.00754716981132075,0,0.686792452830189,0.947169811320755,0.99622641509434,"svmRadialSigma","unseen","class_0","class_0",0.0410536246021458,0.468671536447808,"TN"
"1339","normal(0.6)-Normal_956_573.6-265","normal(0.6)","Normal_956_573.6",265,0,0.0467,0.0467,1,-0.05897,2.75694,0.00377358490566038,0,0.671698113207547,0.954716981132075,1,"svmRadialSigma","unseen","class_0","class_0",0.116566685604452,0.468671536447808,"TN"
"1344","normal(0.6)-Normal_-597_358.2-265","normal(0.6)","Normal_-597_358.2",265,0,0.09111,0.09111,1,-0.22072,2.39032,0,0,0.652830188679245,0.969811320754717,1,"svmRadialSigma","unseen","class_0","class_0",0.279028621792931,0.468671536447808,"TN"
"1349","normal(0.6)-Normal_-277_166.2-265","normal(0.6)","Normal_-277_166.2",265,0,0.00351,0.00351,1,0.05353,2.62088,0.00377358490566038,0,0.649056603773585,0.962264150943396,1,"svmRadialSigma","unseen","class_0","class_0",0.252607932851223,0.468671536447808,"TN"
"1351","close_normal-tukey(0.1)-266","close_normal","tukey(0.1)",266,0,-0.04679,0.04679,1,0.22118,3.46995,0.0225563909774436,0,0.699248120300752,0.947368421052632,0.992481203007519,"svmRadialSigma","unseen","class_1","class_0",0.349378145814113,0.468671536447808,"FN"
"1356","sym_long_tail-t(1)-266","sym_long_tail","t(1)",266,0,-0.05829,0.05829,1,16.14839,262.53417,0.131578947368421,0.0789473684210526,0.996240601503759,0.996240601503759,0.996240601503759,"svmRadialSigma","unseen","class_1","class_1",0.951822566570764,0.468671536447808,"TP"
"1361","sym_short_tail-uniform(0,1)-266","sym_short_tail","uniform(0,1)",266,0,-0.06109,0.06109,1,0.03116,1.74493,0,0,0.567669172932331,1,1,"svmRadialSigma","unseen","class_1","class_1",0.969652886059838,0.468671536447808,"TP"
"1366","asym_long_tail-Weibull(0.5,1)-266","asym_long_tail","Weibull(0.5,1)",266,0,-0.35375,0.35375,1,4.46613,27.25262,0.109022556390977,0.0526315789473684,0.928571428571429,0.962406015037594,0.973684210526316,"svmRadialSigma","unseen","class_1","class_1",0.960487128030004,0.468671536447808,"TP"
"1371","asym_short_tail-beta(2,1)-266","asym_short_tail","beta(2,1)",266,0,0.27804,0.27804,1,-0.66945,2.57531,0,0,0.669172932330827,0.966165413533835,1,"svmRadialSigma","unseen","class_1","class_1",0.856350070377269,0.468671536447808,"TP"
"1379","normal(0.6)-Normal_548_328.8-266","normal(0.6)","Normal_548_328.8",266,0,-0.02747,0.02747,1,0.13889,2.58784,0,0,0.691729323308271,0.973684210526316,1,"svmRadialSigma","unseen","class_0","class_0",0.314462683370023,0.468671536447808,"TN"
"1384","normal(0.6)-Normal_-605_363-266","normal(0.6)","Normal_-605_363",266,0,-0.01983,0.01983,1,-0.19465,3.06351,0.0037593984962406,0,0.672932330827068,0.951127819548872,0.996240601503759,"svmRadialSigma","unseen","class_0","class_0",0.025496643154631,0.468671536447808,"TN"
"1389","normal(0.6)-Normal_956_573.6-266","normal(0.6)","Normal_956_573.6",266,0,0.02758,0.02758,1,0.00909,2.76083,0.0037593984962406,0,0.672932330827068,0.954887218045113,1,"svmRadialSigma","unseen","class_0","class_0",0.113459720662129,0.468671536447808,"TN"
"1394","normal(0.6)-Normal_-597_358.2-266","normal(0.6)","Normal_-597_358.2",266,0,0.0939,0.0939,1,-0.20223,2.39247,0,0,0.646616541353383,0.969924812030075,1,"svmRadialSigma","unseen","class_0","class_0",0.364299350844594,0.468671536447808,"TN"
"1399","normal(0.6)-Normal_-277_166.2-266","normal(0.6)","Normal_-277_166.2",266,0,-0.03259,0.03259,1,0.01009,2.51898,0,0,0.639097744360902,0.958646616541353,1,"svmRadialSigma","unseen","class_0","class_0",0.145529668460775,0.468671536447808,"TN"
"1401","close_normal-tukey(0.1)-272","close_normal","tukey(0.1)",272,0,0.01062,0.01062,1,0.11065,3.14626,0.0183823529411765,0,0.680147058823529,0.944852941176471,0.996323529411765,"svmRadialSigma","unseen","class_1","class_0",0.227496344190121,0.468671536447808,"FN"
"1406","sym_long_tail-t(1)-272","sym_long_tail","t(1)",272,0,-0.05765,0.05765,1,16.32841,268.43252,0.136029411764706,0.0845588235294118,0.996323529411765,0.996323529411765,0.996323529411765,"svmRadialSigma","unseen","class_1","class_1",0.95183991934907,0.468671536447808,"TP"
"1411","sym_short_tail-uniform(0,1)-272","sym_short_tail","uniform(0,1)",272,0,-0.11761,0.11761,1,0.20979,1.85347,0,0,0.577205882352941,1,1,"svmRadialSigma","unseen","class_1","class_1",0.981264666728988,0.468671536447808,"TP"
"1416","asym_long_tail-Weibull(0.5,1)-272","asym_long_tail","Weibull(0.5,1)",272,0,-0.33372,0.33372,1,5.10177,36.74682,0.132352941176471,0.0625,0.930147058823529,0.955882352941177,0.981617647058823,"svmRadialSigma","unseen","class_1","class_1",0.960912367532787,0.468671536447808,"TP"
"1421","asym_short_tail-beta(2,1)-272","asym_short_tail","beta(2,1)",272,0,0.22632,0.22632,1,-0.57801,2.45583,0,0,0.639705882352941,0.970588235294118,1,"svmRadialSigma","unseen","class_1","class_1",0.964495494580755,0.468671536447808,"TP"
"1429","normal(0.6)-Normal_548_328.8-272","normal(0.6)","Normal_548_328.8",272,0,-0.02518,0.02518,1,0.16201,2.65016,0,0,0.691176470588235,0.955882352941177,1,"svmRadialSigma","unseen","class_0","class_0",0.166138648607815,0.468671536447808,"TN"
"1434","normal(0.6)-Normal_-605_363-272","normal(0.6)","Normal_-605_363",272,0,-0.0411,0.0411,1,-0.09699,2.8102,0.00367647058823529,0,0.665441176470588,0.952205882352941,0.996323529411765,"svmRadialSigma","unseen","class_0","class_0",0.0363001450187806,0.468671536447808,"TN"
"1439","normal(0.6)-Normal_956_573.6-272","normal(0.6)","Normal_956_573.6",272,0,0.04338,0.04338,1,0.09026,2.80966,0,0,0.672794117647059,0.941176470588235,1,"svmRadialSigma","unseen","class_0","class_0",0.43254847940243,0.468671536447808,"TN"
"1444","normal(0.6)-Normal_-597_358.2-272","normal(0.6)","Normal_-597_358.2",272,0,0.13476,0.13476,1,-0.31987,2.97405,0.0110294117647059,0,0.6875,0.955882352941177,0.996323529411765,"svmRadialSigma","unseen","class_0","class_0",0.108637306222211,0.468671536447808,"TN"
"1449","normal(0.6)-Normal_-277_166.2-272","normal(0.6)","Normal_-277_166.2",272,0,-0.04073,0.04073,1,0.06341,2.93638,0.00367647058823529,0,0.672794117647059,0.952205882352941,1,"svmRadialSigma","unseen","class_0","class_0",0.107160689813092,0.468671536447808,"TN"
"1451","close_normal-tukey(0.1)-282","close_normal","tukey(0.1)",282,0,-0.04446,0.04446,1,0.0179,2.77244,0.00354609929078014,0,0.698581560283688,0.953900709219858,0.99645390070922,"svmRadialSigma","unseen","class_1","class_0",0.073642425397459,0.468671536447808,"FN"
"1456","sym_long_tail-t(1)-282","sym_long_tail","t(1)",282,0,-0.05274,0.05274,1,16.51014,275.76599,0.163120567375887,0.099290780141844,0.99645390070922,0.99645390070922,0.99645390070922,"svmRadialSigma","unseen","class_1","class_1",0.951870610989355,0.468671536447808,"TP"
"1461","sym_short_tail-uniform(0,1)-282","sym_short_tail","uniform(0,1)",282,0,0.02126,0.02126,1,0.00568,1.81726,0,0,0.595744680851064,1,1,"svmRadialSigma","unseen","class_1","class_1",0.977896802099293,0.468671536447808,"TP"
"1466","asym_long_tail-Weibull(0.5,1)-282","asym_long_tail","Weibull(0.5,1)",282,0,-0.38283,0.38283,1,3.82387,20.29591,0.131205673758865,0.0780141843971631,0.914893617021277,0.953900709219858,0.971631205673759,"svmRadialSigma","unseen","class_1","class_1",0.957544804797234,0.468671536447808,"TP"
"1471","asym_short_tail-beta(2,1)-282","asym_short_tail","beta(2,1)",282,0,0.13858,0.13858,1,-0.57553,2.52401,0,0,0.638297872340426,0.953900709219858,1,"svmRadialSigma","unseen","class_1","class_0",0.343424397536714,0.468671536447808,"FN"
"1479","normal(0.6)-Normal_548_328.8-282","normal(0.6)","Normal_548_328.8",282,0,0.00098,0.00098,1,0.12512,2.7151,0.00354609929078014,0,0.698581560283688,0.960992907801418,1,"svmRadialSigma","unseen","class_0","class_0",0.145484720772686,0.468671536447808,"TN"
"1484","normal(0.6)-Normal_-605_363-282","normal(0.6)","Normal_-605_363",282,0,-0.0848,0.0848,1,0.07578,2.81149,0.00354609929078014,0,0.677304964539007,0.953900709219858,0.99645390070922,"svmRadialSigma","unseen","class_0","class_0",0.177767131604981,0.468671536447808,"TN"
"1489","normal(0.6)-Normal_956_573.6-282","normal(0.6)","Normal_956_573.6",282,0,-0.02816,0.02816,1,0.16,3.08201,0.00709219858156028,0,0.705673758865248,0.943262411347518,1,"svmRadialSigma","unseen","class_0","class_0",0.185006765755576,0.468671536447808,"TN"
"1494","normal(0.6)-Normal_-597_358.2-282","normal(0.6)","Normal_-597_358.2",282,0,0.09335,0.09335,1,-0.26825,3.1342,0.0283687943262411,0,0.673758865248227,0.939716312056738,0.99645390070922,"svmRadialSigma","unseen","class_0","class_0",0.189858782375026,0.468671536447808,"TN"
"1499","normal(0.6)-Normal_-277_166.2-282","normal(0.6)","Normal_-277_166.2",282,0,0.00579,0.00579,1,-0.01141,3.24549,0.0177304964539007,0,0.712765957446808,0.939716312056738,0.99290780141844,"svmRadialSigma","unseen","class_0","class_1",0.911501282807899,0.468671536447808,"FP"
"1501","close_normal-tukey(0.1)-284","close_normal","tukey(0.1)",284,0,0.10692,0.10692,1,-0.21476,2.83769,0,0,0.679577464788732,0.947183098591549,1,"svmRadialSigma","unseen","class_1","class_0",0.105945129155346,0.468671536447808,"FN"
"1506","sym_long_tail-t(1)-284","sym_long_tail","t(1)",284,0,-0.07306,0.07306,1,14.80016,231.31381,0.154929577464789,0.0985915492957746,0.992957746478873,0.992957746478873,0.992957746478873,"svmRadialSigma","unseen","class_1","class_1",0.951926435565017,0.468671536447808,"TP"
"1511","sym_short_tail-uniform(0,1)-284","sym_short_tail","uniform(0,1)",284,0,0.00961,0.00961,1,0.03003,1.84549,0,0,0.591549295774648,1,1,"svmRadialSigma","unseen","class_1","class_1",0.97756450228881,0.468671536447808,"TP"
"1516","asym_long_tail-Weibull(0.5,1)-284","asym_long_tail","Weibull(0.5,1)",284,0,-0.34606,0.34606,1,5.15949,40.52797,0.154929577464789,0.0809859154929577,0.919014084507042,0.961267605633803,0.975352112676056,"svmRadialSigma","unseen","class_1","class_1",0.959131171430259,0.468671536447808,"TP"
"1521","asym_short_tail-beta(2,1)-284","asym_short_tail","beta(2,1)",284,0,0.1792,0.1792,1,-0.49696,2.1533,0,0,0.616197183098592,0.971830985915493,1,"svmRadialSigma","unseen","class_1","class_1",0.988454104892484,0.468671536447808,"TP"
"1529","normal(0.6)-Normal_548_328.8-284","normal(0.6)","Normal_548_328.8",284,0,0.0199,0.0199,1,0.04134,2.80655,0,0,0.707746478873239,0.961267605633803,1,"svmRadialSigma","unseen","class_0","class_0",0.131371973432788,0.468671536447808,"TN"
"1534","normal(0.6)-Normal_-605_363-284","normal(0.6)","Normal_-605_363",284,0,-0.08462,0.08462,1,0.13784,2.82718,0.00352112676056338,0,0.669014084507042,0.950704225352113,0.996478873239437,"svmRadialSigma","unseen","class_0","class_0",0.257442941756059,0.468671536447808,"TN"
"1539","normal(0.6)-Normal_956_573.6-284","normal(0.6)","Normal_956_573.6",284,0,-0.03695,0.03695,1,0.08825,3.107,0.00704225352112676,0,0.71830985915493,0.947183098591549,1,"svmRadialSigma","unseen","class_0","class_0",0.149405826311019,0.468671536447808,"TN"
"1544","normal(0.6)-Normal_-597_358.2-284","normal(0.6)","Normal_-597_358.2",284,0,0.10114,0.10114,1,-0.28194,2.96694,0.00704225352112676,0,0.676056338028169,0.954225352112676,1,"svmRadialSigma","unseen","class_0","class_0",0.100036316829062,0.468671536447808,"TN"
"1549","normal(0.6)-Normal_-277_166.2-284","normal(0.6)","Normal_-277_166.2",284,0,0.02555,0.02555,1,0.03882,3.01391,0.0105633802816901,0,0.704225352112676,0.947183098591549,0.996478873239437,"svmRadialSigma","unseen","class_0","class_0",0.253529708910249,0.468671536447808,"TN"
"1551","close_normal-tukey(0.1)-292","close_normal","tukey(0.1)",292,0,0.10572,0.10572,1,-0.24921,3.0069,0.0136986301369863,0,0.671232876712329,0.948630136986301,0.996575342465753,"svmRadialSigma","unseen","class_1","class_0",0.0817874429406655,0.468671536447808,"FN"
"1556","sym_long_tail-t(1)-292","sym_long_tail","t(1)",292,0,-0.07148,0.07148,1,15.01075,237.89663,0.157534246575342,0.0993150684931507,0.993150684931507,0.993150684931507,0.993150684931507,"svmRadialSigma","unseen","class_1","class_1",0.951881781034226,0.468671536447808,"TP"
"1561","sym_short_tail-uniform(0,1)-292","sym_short_tail","uniform(0,1)",292,0,0.02475,0.02475,1,0.01876,1.90073,0,0,0.606164383561644,1,1,"svmRadialSigma","unseen","class_1","class_1",0.978595159333667,0.468671536447808,"TP"
"1566","asym_long_tail-Weibull(0.5,1)-292","asym_long_tail","Weibull(0.5,1)",292,0,-0.34622,0.34622,1,5.35527,37.76783,0.0958904109589041,0.0410958904109589,0.934931506849315,0.979452054794521,0.982876712328767,"svmRadialSigma","unseen","class_1","class_1",0.955367675351213,0.468671536447808,"TP"
"1571","asym_short_tail-beta(2,1)-292","asym_short_tail","beta(2,1)",292,0,0.12133,0.12133,1,-0.56802,2.61608,0,0,0.64041095890411,0.952054794520548,1,"svmRadialSigma","unseen","class_1","class_0",0.223678289035436,0.468671536447808,"FN"
"1579","normal(0.6)-Normal_548_328.8-292","normal(0.6)","Normal_548_328.8",292,0,0.00787,0.00787,1,0.06386,2.80084,0,0,0.712328767123288,0.962328767123288,1,"svmRadialSigma","unseen","class_0","class_0",0.148756350850114,0.468671536447808,"TN"
"1584","normal(0.6)-Normal_-605_363-292","normal(0.6)","Normal_-605_363",292,0,-0.06744,0.06744,1,0.1304,2.84963,0.00342465753424658,0,0.664383561643836,0.948630136986301,0.996575342465753,"svmRadialSigma","unseen","class_0","class_0",0.206475394693145,0.468671536447808,"TN"
"1589","normal(0.6)-Normal_956_573.6-292","normal(0.6)","Normal_956_573.6",292,0,-0.02795,0.02795,1,-0.10724,3.62647,0.00684931506849315,0,0.702054794520548,0.952054794520548,0.996575342465753,"svmRadialSigma","unseen","class_0","class_0",0.0468641860850288,0.468671536447808,"TN"
"1594","normal(0.6)-Normal_-597_358.2-292","normal(0.6)","Normal_-597_358.2",292,0,-0.03272,0.03272,1,0.21182,2.95138,0.0102739726027397,0,0.671232876712329,0.962328767123288,0.993150684931507,"svmRadialSigma","unseen","class_0","class_0",0.129630488516238,0.468671536447808,"TN"
"1599","normal(0.6)-Normal_-277_166.2-292","normal(0.6)","Normal_-277_166.2",292,0,0.00519,0.00519,1,-0.06337,3.0717,0.00342465753424658,0,0.688356164383562,0.965753424657534,0.996575342465753,"svmRadialSigma","unseen","class_0","class_0",0.0335835533460477,0.468671536447808,"TN"
"1601","close_normal-tukey(0.1)-298","close_normal","tukey(0.1)",298,0,0.11113,0.11113,1,-0.21464,3.04296,0.00335570469798658,0,0.694630872483222,0.956375838926175,0.996644295302013,"svmRadialSigma","unseen","class_1","class_0",0.122774412930745,0.468671536447808,"FN"
"1606","sym_long_tail-t(1)-298","sym_long_tail","t(1)",298,0,-0.07996,0.07996,1,11.81125,147.08967,0.161073825503356,0.0939597315436242,0.983221476510067,0.993288590604027,0.993288590604027,"svmRadialSigma","unseen","class_1","class_1",0.957113304682057,0.468671536447808,"TP"
"1611","sym_short_tail-uniform(0,1)-298","sym_short_tail","uniform(0,1)",298,0,-0.06437,0.06437,1,0.08057,1.78361,0,0,0.577181208053691,1,1,"svmRadialSigma","unseen","class_1","class_1",0.97304718955868,0.468671536447808,"TP"
"1616","asym_long_tail-Weibull(0.5,1)-298","asym_long_tail","Weibull(0.5,1)",298,0,-0.347,0.347,1,4.67561,29.34298,0.10738255033557,0.063758389261745,0.926174496644295,0.966442953020134,0.973154362416107,"svmRadialSigma","unseen","class_1","class_1",0.959679633748445,0.468671536447808,"TP"
"1621","asym_short_tail-beta(2,1)-298","asym_short_tail","beta(2,1)",298,0,0.23091,0.23091,1,-0.58849,2.37619,0,0,0.640939597315436,0.959731543624161,1,"svmRadialSigma","unseen","class_1","class_1",0.878916373711821,0.468671536447808,"TP"
"1629","normal(0.6)-Normal_548_328.8-298","normal(0.6)","Normal_548_328.8",298,0,0.01985,0.01985,1,0.0054,2.9727,0.0100671140939597,0,0.711409395973154,0.942953020134228,1,"svmRadialSigma","unseen","class_0","class_0",0.283953910163622,0.468671536447808,"TN"
"1634","normal(0.6)-Normal_-605_363-298","normal(0.6)","Normal_-605_363",298,0,-0.0377,0.0377,1,0.11649,2.68549,0.00335570469798658,0,0.664429530201342,0.942953020134228,1,"svmRadialSigma","unseen","class_0","class_1",0.570787610568912,0.468671536447808,"FP"
"1639","normal(0.6)-Normal_956_573.6-298","normal(0.6)","Normal_956_573.6",298,0,0.01719,0.01719,1,-0.15914,3.37978,0.00335570469798658,0,0.687919463087248,0.949664429530201,0.996644295302013,"svmRadialSigma","unseen","class_0","class_0",0.0689861412817502,0.468671536447808,"TN"
"1644","normal(0.6)-Normal_-597_358.2-298","normal(0.6)","Normal_-597_358.2",298,0,-0.03094,0.03094,1,0.27778,2.86409,0.0100671140939597,0,0.681208053691275,0.963087248322148,0.993288590604027,"svmRadialSigma","unseen","class_0","class_0",0.146935848038039,0.468671536447808,"TN"
"1649","normal(0.6)-Normal_-277_166.2-298","normal(0.6)","Normal_-277_166.2",298,0,-0.03216,0.03216,1,-0.17693,2.81073,0.00335570469798658,0,0.684563758389262,0.959731543624161,0.996644295302013,"svmRadialSigma","unseen","class_0","class_0",0.0205169726288903,0.468671536447808,"TN"
"1651","close_normal-tukey(0.1)-306","close_normal","tukey(0.1)",306,0,-0.02429,0.02429,1,0.1654,3.30232,0.0163398692810458,0,0.702614379084967,0.944444444444444,0.993464052287582,"svmRadialSigma","unseen","class_1","class_1",0.534842714216975,0.468671536447808,"TP"
"1656","sym_long_tail-t(1)-306","sym_long_tail","t(1)",306,0,-0.08529,0.08529,1,12.32528,156.86842,0.147058823529412,0.0947712418300654,0.993464052287582,0.993464052287582,0.993464052287582,"svmRadialSigma","unseen","class_1","class_1",0.956437045203153,0.468671536447808,"TP"
"1661","sym_short_tail-uniform(0,1)-306","sym_short_tail","uniform(0,1)",306,0,0.10852,0.10852,1,-0.13003,1.84252,0,0,0.598039215686274,1,1,"svmRadialSigma","unseen","class_1","class_1",0.983633960841143,0.468671536447808,"TP"
"1666","asym_long_tail-Weibull(0.5,1)-306","asym_long_tail","Weibull(0.5,1)",306,0,-0.34997,0.34997,1,5.5665,44.87086,0.137254901960784,0.0784313725490196,0.92156862745098,0.967320261437909,0.980392156862745,"svmRadialSigma","unseen","class_1","class_1",0.958419120932824,0.468671536447808,"TP"
"1671","asym_short_tail-beta(2,1)-306","asym_short_tail","beta(2,1)",306,0,0.22058,0.22058,1,-0.59089,2.41961,0,0,0.598039215686274,0.967320261437909,1,"svmRadialSigma","unseen","class_1","class_1",0.985998542390333,0.468671536447808,"TP"
"1679","normal(0.6)-Normal_548_328.8-306","normal(0.6)","Normal_548_328.8",306,0,0.01371,0.01371,1,-0.0736,3.04935,0.00980392156862745,0,0.702614379084967,0.947712418300654,1,"svmRadialSigma","unseen","class_0","class_0",0.0970306324566128,0.468671536447808,"TN"
"1684","normal(0.6)-Normal_-605_363-306","normal(0.6)","Normal_-605_363",306,0,-0.03083,0.03083,1,0.07083,3.03863,0.0065359477124183,0,0.683006535947712,0.944444444444444,0.996732026143791,"svmRadialSigma","unseen","class_0","class_0",0.105619969034539,0.468671536447808,"TN"
"1689","normal(0.6)-Normal_956_573.6-306","normal(0.6)","Normal_956_573.6",306,0,0.03048,0.03048,1,-0.20941,3.12635,0.00326797385620915,0,0.702614379084967,0.947712418300654,0.996732026143791,"svmRadialSigma","unseen","class_0","class_0",0.122357169607003,0.468671536447808,"TN"
"1694","normal(0.6)-Normal_-597_358.2-306","normal(0.6)","Normal_-597_358.2",306,0,-0.01426,0.01426,1,0.05435,2.838,0.00980392156862745,0,0.69281045751634,0.964052287581699,0.996732026143791,"svmRadialSigma","unseen","class_0","class_0",0.0629108162355121,0.468671536447808,"TN"
"1699","normal(0.6)-Normal_-277_166.2-306","normal(0.6)","Normal_-277_166.2",306,0,-0.03266,0.03266,1,-0.09668,2.65835,0,0,0.666666666666667,0.957516339869281,1,"svmRadialSigma","unseen","class_0","class_0",0.0532594029299928,0.468671536447808,"TN"
"1701","close_normal-tukey(0.1)-310","close_normal","tukey(0.1)",310,0,0.02392,0.02392,1,-0.01272,2.68924,0,0,0.661290322580645,0.958064516129032,1,"svmRadialSigma","unseen","class_1","class_0",0.160814605739517,0.468671536447808,"FN"
"1706","sym_long_tail-t(1)-310","sym_long_tail","t(1)",310,0,-0.0598,0.0598,1,17.15305,299.51452,0.148387096774194,0.0806451612903226,0.996774193548387,0.996774193548387,0.996774193548387,"svmRadialSigma","unseen","class_1","class_1",0.951273210550802,0.468671536447808,"TP"
"1711","sym_short_tail-uniform(0,1)-310","sym_short_tail","uniform(0,1)",310,0,-0.05848,0.05848,1,0.00683,1.86635,0,0,0.574193548387097,1,1,"svmRadialSigma","unseen","class_1","class_1",0.971504016228308,0.468671536447808,"TP"
"1716","asym_long_tail-Weibull(0.5,1)-310","asym_long_tail","Weibull(0.5,1)",310,0,-0.35648,0.35648,1,4.1233,23.1333,0.145161290322581,0.0838709677419355,0.916129032258065,0.964516129032258,0.974193548387097,"svmRadialSigma","unseen","class_1","class_1",0.963013628711811,0.468671536447808,"TP"
"1721","asym_short_tail-beta(2,1)-310","asym_short_tail","beta(2,1)",310,0,0.10501,0.10501,1,-0.50177,2.40156,0,0,0.616129032258064,0.964516129032258,1,"svmRadialSigma","unseen","class_1","class_1",0.925902505114321,0.468671536447808,"TP"
"1729","normal(0.6)-Normal_548_328.8-310","normal(0.6)","Normal_548_328.8",310,0,-0.00544,0.00544,1,-0.05779,3.1003,0.00967741935483871,0,0.712903225806452,0.948387096774194,1,"svmRadialSigma","unseen","class_0","class_0",0.110229428279955,0.468671536447808,"TN"
"1734","normal(0.6)-Normal_-605_363-310","normal(0.6)","Normal_-605_363",310,0,-0.03552,0.03552,1,0.04926,3.09853,0.00645161290322581,0,0.703225806451613,0.941935483870968,0.996774193548387,"svmRadialSigma","unseen","class_0","class_0",0.102009554829551,0.468671536447808,"TN"
"1739","normal(0.6)-Normal_956_573.6-310","normal(0.6)","Normal_956_573.6",310,0,0.02204,0.02204,1,-0.13537,2.70835,0,0,0.674193548387097,0.951612903225806,1,"svmRadialSigma","unseen","class_0","class_0",0.0897238350759825,0.468671536447808,"TN"
"1744","normal(0.6)-Normal_-597_358.2-310","normal(0.6)","Normal_-597_358.2",310,0,0.00032,0.00032,1,0.02753,2.82432,0.00967741935483871,0,0.664516129032258,0.970967741935484,0.996774193548387,"svmRadialSigma","unseen","class_0","class_0",0.0638784175681045,0.468671536447808,"TN"
"1749","normal(0.6)-Normal_-277_166.2-310","normal(0.6)","Normal_-277_166.2",310,0,-0.04426,0.04426,1,-0.00855,2.66894,0,0,0.651612903225806,0.961290322580645,1,"svmRadialSigma","unseen","class_0","class_0",0.0903318748859453,0.468671536447808,"TN"
"1751","close_normal-tukey(0.1)-317","close_normal","tukey(0.1)",317,0,-0.06607,0.06607,1,0.14025,2.98024,0.00946372239747634,0,0.668769716088328,0.962145110410095,1,"svmRadialSigma","unseen","class_1","class_0",0.266884690546173,0.468671536447808,"FN"
"1756","sym_long_tail-t(1)-317","sym_long_tail","t(1)",317,0,-0.06043,0.06043,1,17.37945,307.03599,0.151419558359621,0.082018927444795,0.996845425867508,0.996845425867508,0.996845425867508,"svmRadialSigma","unseen","class_1","class_1",0.951013790405203,0.468671536447808,"TP"
"1761","sym_short_tail-uniform(0,1)-317","sym_short_tail","uniform(0,1)",317,0,0.02453,0.02453,1,0.09773,1.81905,0,0,0.574132492113565,1,1,"svmRadialSigma","unseen","class_1","class_1",0.979366679774149,0.468671536447808,"TP"
"1766","asym_long_tail-Weibull(0.5,1)-317","asym_long_tail","Weibull(0.5,1)",317,0,-0.38295,0.38295,1,3.62059,17.90425,0.1198738170347,0.0725552050473186,0.914826498422713,0.952681388012618,0.971608832807571,"svmRadialSigma","unseen","class_1","class_1",0.957961974673582,0.468671536447808,"TP"
"1771","asym_short_tail-beta(2,1)-317","asym_short_tail","beta(2,1)",317,0,0.21155,0.21155,1,-0.61682,2.50445,0,0,0.649842271293375,0.958990536277603,1,"svmRadialSigma","unseen","class_1","class_1",0.806861638735971,0.468671536447808,"TP"
"1779","normal(0.6)-Normal_548_328.8-317","normal(0.6)","Normal_548_328.8",317,0,0.02199,0.02199,1,-0.11865,3.13822,0.0126182965299685,0,0.725552050473186,0.943217665615142,1,"svmRadialSigma","unseen","class_0","class_0",0.411055878373193,0.468671536447808,"TN"
"1784","normal(0.6)-Normal_-605_363-317","normal(0.6)","Normal_-605_363",317,0,-0.06085,0.06085,1,0.2473,3.30333,0.0126182965299685,0,0.703470031545741,0.958990536277603,0.990536277602524,"svmRadialSigma","unseen","class_0","class_1",0.510807457952274,0.468671536447808,"FP"
